,Book Name,Book Price,Book Rating
0,A Light in the Attic,₹5177.00,3
1,Tipping the Velvet,₹5374.00,1
2,Soumission,₹5010.00,1
3,Sharp Objects,₹4782.00,4
4,Sapiens: A Brief History of Humankind,₹5423.00,5
5,The Requiem Red,₹2265.00,1
6,The Dirty Little Secrets of Getting Your Dream Job,₹3334.00,4
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",₹1793.00,3
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,₹2260.00,4
9,The Black Maria,₹5215.00,1
10,"Starving Hearts (Triangular Trade Trilogy, #1)",₹1399.00,2
11,Shakespeare's Sonnets,₹2066.00,4
12,Set Me Free,₹1746.00,5
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),₹5229.00,5
14,Rip it Up and Start Again,₹3502.00,5
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",₹5725.00,3
16,Olio,₹2388.00,1
17,Mesaerion: The Best Science Fiction Stories 1800-1849,₹3759.00,1
18,Libertarianism for Beginners,₹5133.00,2
19,It's Only the Himalayas,₹4517.00,2
